file,method,direct_guard_candidates
"app/api/absence/report/route.ts","GET","getAuthenticatedBusiness;getCurrentUser"
"app/api/absence/route.ts","DELETE","getAuthenticatedBusiness;getCurrentUser"
"app/api/absence/route.ts","GET","getAuthenticatedBusiness;getCurrentUser"
"app/api/absence/route.ts","POST","getAuthenticatedBusiness;getCurrentUser"
"app/api/account/delete/route.ts","POST","getAuthenticatedBusiness"
"app/api/actions/route.ts","POST","getAuthenticatedBusiness"
"app/api/admin/ask-coverage/route.ts","GET",""
"app/api/admin/backfill-products/route.ts","POST",""
"app/api/admin/cost-probe/route.ts","GET",""
"app/api/admin/create-pilot/route.ts","POST",""
"app/api/admin/customers/route.ts","GET",""
"app/api/admin/customers/route.ts","PATCH",""
"app/api/admin/demo-fortnox-sim/route.ts","POST","getAuthenticatedBusiness;getCurrentUser"
"app/api/admin/demo-onboarding-replay/route.ts","POST","getAuthenticatedBusiness;getCurrentUser"
"app/api/admin/demo-reset/route.ts","POST","getAuthenticatedBusiness;getCurrentUser"
"app/api/admin/demo-seed-meeting/route.ts","POST","getAuthenticatedBusiness;getCurrentUser"
"app/api/admin/impersonate/[businessId]/route.ts","DELETE",""
"app/api/admin/impersonate/[businessId]/route.ts","POST",""
"app/api/admin/impersonate/route.ts","DELETE",""
"app/api/admin/impersonate/route.ts","POST",""
"app/api/admin/impersonate/verify/route.ts","GET",""
"app/api/admin/invoice-manifests/reconcile/route.ts","POST","getAuthenticatedBusiness;getCurrentUser"
"app/api/admin/kortkvalitet/route.ts","GET",""
"app/api/admin/launch-preflight/route.ts","GET",""
"app/api/admin/launch-readiness/bevis/route.ts","DELETE",""
"app/api/admin/launch-readiness/bevis/route.ts","POST",""
"app/api/admin/launch-readiness/route.ts","GET",""
"app/api/admin/launch/accounts/[id]/route.ts","GET",""
"app/api/admin/launch/accounts/[id]/route.ts","PATCH",""
"app/api/admin/launch/accounts/[id]/signaler/route.ts","POST",""
"app/api/admin/launch/accounts/route.ts","GET",""
"app/api/admin/launch/accounts/route.ts","POST",""
"app/api/admin/launch/activity/route.ts","POST",""
"app/api/admin/launch/brief/route.ts","POST",""
"app/api/admin/launch/kallor/platsbanken/route.ts","POST",""
"app/api/admin/launch/signaler/batch/route.ts","POST",""
"app/api/admin/launch/suppress/route.ts","POST",""
"app/api/admin/launch/veckopuls/route.ts","GET",""
"app/api/admin/mandate-maturity/route.ts","GET",""
"app/api/admin/metrics/route.ts","GET",""
"app/api/admin/onboarding-funnel/route.ts","GET",""
"app/api/admin/partners/[id]/approve/route.ts","GET",""
"app/api/admin/partners/commission/route.ts","GET",""
"app/api/admin/partners/commission/route.ts","PATCH",""
"app/api/admin/partners/commission/route.ts","POST",""
"app/api/admin/partners/route.ts","GET",""
"app/api/admin/partners/route.ts","PATCH",""
"app/api/admin/pilots/route.ts","GET",""
"app/api/admin/project-outcomes/reconcile/route.ts","POST","getAuthenticatedBusiness;getCurrentUser"
"app/api/admin/raddningsko/[id]/route.ts","POST",""
"app/api/admin/raddningsko/manuell-fix/route.ts","POST",""
"app/api/admin/raddningsko/route.ts","GET",""
"app/api/admin/support-operations/route.ts","GET",""
"app/api/admin/support-tickets/[id]/reply/route.ts","POST",""
"app/api/admin/support-tickets/[id]/resolve/route.ts","POST",""
"app/api/admin/support-tickets/[id]/route.ts","GET",""
"app/api/admin/support-tickets/[id]/satisfaction/route.ts","POST","getAuthenticatedBusiness"
"app/api/admin/support-tickets/route.ts","GET",""
"app/api/admin/transcription-bench/route.ts","POST",""
"app/api/agent/data/route.ts","GET","getAuthenticatedBusiness"
"app/api/agent/data/route.ts","POST","getAuthenticatedBusiness"
"app/api/agent/memories/[id]/route.ts","DELETE","getAuthenticatedBusiness"
"app/api/agent/memories/route.ts","GET","getAuthenticatedBusiness"
"app/api/agent/test-handoff/route.ts","POST","getAuthenticatedBusiness"
"app/api/agent/trigger/route.ts","POST","getAuthenticatedBusiness"
"app/api/agreement-types/route.ts","DELETE","getAuthenticatedBusiness"
"app/api/agreement-types/route.ts","GET","getAuthenticatedBusiness"
"app/api/agreement-types/route.ts","POST","getAuthenticatedBusiness"
"app/api/agreement-types/route.ts","PUT","getAuthenticatedBusiness"
"app/api/agreements/route.ts","GET","getAuthenticatedBusiness"
"app/api/agreements/route.ts","POST","getAuthenticatedBusiness"
"app/api/agreements/route.ts","PUT","getAuthenticatedBusiness"
"app/api/agreements/sweep/route.ts","POST","getAuthenticatedBusiness"
"app/api/ai-copilot/route.ts","POST","getAuthenticatedBusiness"
"app/api/allowance-types/route.ts","GET","getAuthenticatedBusiness"
"app/api/allowance-types/route.ts","POST","getAuthenticatedBusiness"
"app/api/allowance-types/route.ts","PUT","getAuthenticatedBusiness"
"app/api/allowances/route.ts","DELETE","getAuthenticatedBusiness;getCurrentUser;hasPermission"
"app/api/allowances/route.ts","GET","getAuthenticatedBusiness;getCurrentUser;hasPermission"
"app/api/allowances/route.ts","POST","getAuthenticatedBusiness;verifyOwnership;getCurrentUser;hasPermission"
"app/api/analytics/economics/route.ts","GET","getAuthenticatedBusiness;getCurrentUser;hasPermission"
"app/api/analytics/insights/route.ts","GET","getAuthenticatedBusiness"
"app/api/analytics/job-types/route.ts","GET","getAuthenticatedBusiness;getCurrentUser;hasPermission"
"app/api/analytics/quote-performance/route.ts","GET","getAuthenticatedBusiness"
"app/api/analytics/speed-to-lead/route.ts","GET","getAuthenticatedBusiness"
"app/api/analytics/win-loss/route.ts","GET","getAuthenticatedBusiness;getCurrentUser;hasPermission"
"app/api/approvals/[id]/route.ts","GET","getAuthenticatedBusiness;getCurrentUser;canActOnApproval"
"app/api/approvals/[id]/route.ts","POST","getAuthenticatedBusiness;getCurrentUser;canActOnApproval"
"app/api/approvals/route.ts","GET","getAuthenticatedBusiness;getCurrentUser;canActOnApproval"
"app/api/approvals/route.ts","POST","getAuthenticatedBusiness"
"app/api/ata/[id]/pdf/route.ts","GET","getAuthenticatedBusiness;getCurrentUser;hasPermission"
"app/api/ata/[id]/route.ts","DELETE","getAuthenticatedBusiness"
"app/api/ata/[id]/route.ts","GET","getAuthenticatedBusiness"
"app/api/ata/[id]/route.ts","PATCH","getAuthenticatedBusiness"
"app/api/ata/[id]/send/route.ts","GET",""
"app/api/ata/[id]/send/route.ts","POST",""
"app/api/ata/route.ts","GET","getAuthenticatedBusiness"
"app/api/ata/route.ts","POST","getAuthenticatedBusiness;verifyOwnership"
"app/api/ata/sign/[token]/pdf/route.ts","GET",""
"app/api/ata/sign/[token]/route.ts","GET",""
"app/api/ata/sign/[token]/route.ts","POST",""
"app/api/auth/logout/route.ts","POST",""
"app/api/auth/register/route.ts","POST",""
"app/api/auth/route.ts","POST",""
"app/api/auto-approve/patterns/route.ts","GET","getAuthenticatedBusiness"
"app/api/automation/logs/route.ts","GET","getAuthenticatedBusiness"
"app/api/automation/route.ts","GET","getAuthenticatedBusiness"
"app/api/automation/route.ts","PATCH","getAuthenticatedBusiness"
"app/api/automation/route.ts","POST","getAuthenticatedBusiness"
"app/api/automation/rules/[id]/route.ts","DELETE","getAuthenticatedBusiness"
"app/api/automation/rules/[id]/route.ts","GET","getAuthenticatedBusiness"
"app/api/automation/rules/[id]/route.ts","PUT","getAuthenticatedBusiness"
"app/api/automation/rules/[id]/run/route.ts","POST","getAuthenticatedBusiness"
"app/api/automation/rules/[id]/toggle/route.ts","POST","getAuthenticatedBusiness"
"app/api/automation/rules/route.ts","GET","getAuthenticatedBusiness"
"app/api/automation/rules/route.ts","POST","getAuthenticatedBusiness"
